UE_ID,SNR,EMA_SNR,RSRP,EMA_RSRP,Noise_Power,RX_Full_Secs,RX_Frac_Secs,RSSI,RX_Gain
1,27.498432,27.272379,-38.540142,-38.335613,0.144206,107,0.125254,-17.797342,49.000000
1,26.518858,27.197027,-37.691696,-38.271221,0.220303,108,0.151255,-16.910288,49.000000
1,28.160049,27.293329,-37.576496,-38.201748,0.154958,109,0.177255,-16.819494,49.000000
3,14.116001,13.506950,-20.388407,-19.353367,192.194366,110,0.210255,0.371298,49.000000
1,26.986870,27.262684,-37.569103,-38.138485,0.203032,110,0.217255,-16.786394,49.000000
1,26.715054,27.207920,-37.305500,-38.055187,0.229517,111,0.218255,-16.523977,49.000000
3,12.479573,13.404213,-19.354521,-19.353483,349.412018,112,0.250255,1.347471,49.000000
1,27.161110,27.203239,-37.900070,-38.039677,0.180605,112,0.257255,-17.048090,49.000000
3,13.747692,13.438560,-20.397970,-19.457932,207.822220,113,0.276256,0.424147,49.000000
1,26.838940,27.166809,-37.386143,-37.974323,0.219622,113,0.283256,-16.582285,49.000000
3,13.628540,13.457559,-20.797316,-19.591869,194.788055,114,0.290256,0.170111,49.000000
1,25.613127,27.011440,-37.318604,-37.908752,0.295509,114,0.297256,-16.539734,49.000000
3,14.487789,13.560582,-20.226099,-19.655293,183.873169,115,0.316256,0.447502,49.000000
1,27.447218,27.055017,-37.926239,-37.910500,0.168433,115,0.323256,-17.101217,49.000000
1,27.040447,27.053560,-37.355831,-37.855034,0.210811,116,0.338256,-16.565859,49.000000
1,27.695520,27.117756,-37.456345,-37.815166,0.177360,119,0.184402,-16.673395,49.000000
1,27.802193,27.186199,-38.119362,-37.845585,0.148595,119,0.209402,-17.289194,49.000000
1,26.725071,27.140087,-37.344200,-37.795448,0.227138,119,0.409402,-16.543886,49.000000
1,26.675581,27.093636,-37.462982,-37.762203,0.223322,120,0.436402,-16.678129,49.000000
1,27.692736,27.153545,-32.520287,-37.238010,0.552465,137,0.774405,-11.748005,53.000000
3,14.182926,13.622816,-19.887171,-19.678480,212.461075,137,0.804405,0.625278,53.000000
1,28.217236,27.259914,-32.137169,-36.727928,0.534925,137,0.849405,-11.319065,53.000000
3,13.628342,13.623368,-20.887369,-19.799370,190.503036,137,0.879405,0.095741,53.000000
1,23.149153,26.848839,-32.523087,-36.307446,1.566431,137,0.899405,-11.743479,53.000000
1,27.521723,26.916126,-34.532856,-36.129986,0.361057,137,0.999405,-13.693933,50.000000
1,27.337162,26.958229,-34.724899,-35.989479,0.360304,138,0.024405,-13.933986,50.000000
3,12.476197,13.508651,-20.505194,-19.869953,268.277893,138,0.029405,0.377285,50.000000
1,27.465029,27.008909,-35.425503,-35.933083,0.297696,138,0.049405,-14.601091,50.000000
1,27.969118,27.104931,-38.808239,-36.220596,0.122087,138,0.074405,-18.000111,46.000000
1,22.271791,26.621616,-38.763691,-36.474907,0.455950,138,0.099405,-17.950666,46.000000
3,15.822668,13.740052,-20.405851,-19.923544,130.879303,138,0.104405,0.133381,46.000000
1,27.791838,26.738638,-38.190029,-36.646420,0.146539,138,0.124405,-17.401064,46.000000
1,27.716547,26.836430,-37.822701,-36.764046,0.162286,138,0.149405,-17.039915,46.000000
1,27.982380,26.951025,-38.010311,-36.888672,0.146154,138,0.174405,-17.183554,46.000000
3,14.910473,13.857094,-20.489618,-19.980152,157.224426,138,0.179405,0.264320,46.000000
1,27.597149,27.015636,-42.767445,-37.476547,0.053372,138,0.199405,-21.996243,42.000000
1,25.320360,26.846109,-60.762455,-39.805138,0.001432,138,0.875405,-39.948448,23.000000
1,25.496927,26.711191,-61.347847,-41.959408,0.001200,139,0.889405,-40.518227,23.000000
